snow_depth,dni,pop,ozone,clouds_hi,clouds_low,clouds_mid,pod,pres,clouds,vis,wind_spd,wind_cdir_full,slp,datetime,ts,timestamp_local,dewpt,uv,wind_gust_spd,ghi,dhi,precip,weather,rh,temp,solar_rad,app_temp,wind_dir,timestamp_utc,snow,wind_cdir
0.0,0,65,280,100,100,0,n,1003,92,0.0,9.8,south,1011,2025-02-16:06,1739685600,2025-02-16T01:00:00,57.2,0,18.6,0,0,0.05,"{'description': 'Light shower rain', 'icon': 'r04n', 'code': 520}",100,57.2,0.0,57.2,180,2025-02-16T06:00:00,0.0,S
0.0,0,25,280,100,100,0,n,1000,94,0.1,14.3,south-southwest,1008,2025-02-16:09,1739696400,2025-02-16T04:00:00,61.7,0,24.6,0,0,0.01,"{'description': 'Overcast clouds', 'icon': 'c04n', 'code': 804}",100,61.7,0.0,61.7,200,2025-02-16T09:00:00,0.0,SSW
0.0,0,25,279,100,17,87,n,997,91,8.4,17.0,south-southwest,1004,2025-02-16:12,1739707200,2025-02-16T07:00:00,62.6,0,29.1,0,0,0.01,"{'description': 'Overcast clouds', 'icon': 'c04n', 'code': 804}",98,63.1,0.0,63.1,200,2025-02-16T12:00:00,0.0,SSW
0.0,808,40,285,100,100,100,d,993,92,1.5,20.6,south-southwest,1000,2025-02-16:15,1739718000,2025-02-16T10:00:00,64.4,1,36.7,503,97,0.02,"{'description': 'Overcast clouds', 'icon': 'c04d', 'code': 804}",93,66.6,137.2089,67.1,200,2025-02-16T15:00:00,0.0,SSW
0.0,881,70,297,100,1,100,d,990,92,11.9,19.7,southwest,998,2025-02-16:18,1739728800,2025-02-16T13:00:00,59.4,2,34.2,687,110,0.07,"{'description': 'Light shower rain', 'icon': 'r04d', 'code': 520}",81,65.3,183.0525,65.5,230,2025-02-16T18:00:00,0.0,SW
0.0,700,0,311,0,56,0,d,993,51,12.8,17.2,west,1001,2025-02-16:21,1739739600,2025-02-16T16:00:00,52.5,1,27.3,321,81,0.0,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",65,64.4,281.4365,64.4,260,2025-02-16T21:00:00,0.0,W
0.0,0,0,311,0,0,0,n,999,5,11.5,11.6,west,1007,2025-02-17:00,1739750400,2025-02-16T19:00:00,41.7,0,20.8,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",64,53.6,0.0,53.6,280,2025-02-17T00:00:00,0.0,W
0.0,0,0,310,0,0,0,n,1003,4,12.9,11.6,west-northwest,1011,2025-02-17:03,1739761200,2025-02-16T22:00:00,33.4,0,20.4,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",66,44.1,0.0,37.9,290,2025-02-17T03:00:00,0.0,WNW
0.0,0,0,315,0,0,0,n,1006,3,13.5,8.9,west-northwest,1014,2025-02-17:06,1739772000,2025-02-17T01:00:00,27.3,0,16.8,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",65,37.9,0.0,31.6,290,2025-02-17T06:00:00,0.0,WNW
0.0,0,0,315,0,0,0,n,1008,2,11.8,8.1,west-northwest,1016,2025-02-17:09,1739782800,2025-02-17T04:00:00,25.0,0,15.7,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",68,34.5,0.0,27.9,290,2025-02-17T09:00:00,0.0,WNW
0.0,0,0,334,0,1,0,n,1012,6,11.2,6.3,west-northwest,1020,2025-02-17:12,1739793600,2025-02-17T07:00:00,23.0,0,12.3,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",69,32.0,0.0,25.9,290,2025-02-17T12:00:00,0.0,WNW
0.0,810,0,324,1,20,0,d,1014,19,14.9,8.1,northwest,1022,2025-02-17:15,1739804400,2025-02-17T10:00:00,21.9,3,15.7,508,98,0.0,"{'description': 'Few clouds', 'icon': 'c02d', 'code': 801}",50,38.8,506.64532,33.1,310,2025-02-17T15:00:00,0.0,NW
0.0,882,0,317,0,20,10,d,1014,21,14.9,8.9,west-northwest,1022,2025-02-17:18,1739815200,2025-02-17T13:00:00,22.5,4,15.7,692,111,0.0,"{'description': 'Scattered clouds', 'icon': 'c02d', 'code': 802}",40,45.3,689.28876,45.3,300,2025-02-17T18:00:00,0.0,WNW
0.0,703,0,307,0,9,0,d,1014,5,14.9,6.3,west-northwest,1022,2025-02-17:21,1739826000,2025-02-17T16:00:00,22.6,2,11.0,325,81,0.0,"{'description': 'Few clouds', 'icon': 'c02d', 'code': 801}",37,47.5,325.33896,47.5,300,2025-02-17T21:00:00,0.0,WNW
0.0,0,0,299,0,3,0,n,1015,4,11.4,0.9,west,1023,2025-02-18:00,1739836800,2025-02-17T19:00:00,24.8,0,3.6,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",54,40.1,0.0,42.4,280,2025-02-18T00:00:00,0.0,W
0.0,0,0,294,3,0,0,n,1019,12,14.9,0.9,west-northwest,1027,2025-02-18:03,1739847600,2025-02-17T22:00:00,25.0,0,3.1,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",64,36.0,0.0,37.9,300,2025-02-18T03:00:00,0.0,WNW
0.0,0,0,293,54,0,0,n,1019,10,14.9,0.9,north-northwest,1027,2025-02-18:06,1739858400,2025-02-18T01:00:00,23.4,0,3.1,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",67,33.1,0.0,35.1,330,2025-02-18T06:00:00,0.0,NNW
0.0,0,0,294,70,0,0,n,1019,22,14.9,0.9,north-northwest,1027,2025-02-18:09,1739869200,2025-02-18T04:00:00,21.7,0,4.0,0,0,0.0,"{'description': 'Scattered clouds', 'icon': 'c02n', 'code': 802}",68,30.9,0.0,32.9,360,2025-02-18T09:00:00,0.0,NNW
0.0,0,0,294,100,0,0,n,1021,41,14.9,1.8,north-northeast,1029,2025-02-18:12,1739880000,2025-02-18T07:00:00,20.3,0,4.7,0,2,0.0,"{'description': 'Broken clouds', 'icon': 'c03n', 'code': 803}",68,29.5,2.0047894,28.6,20,2025-02-18T12:00:00,0.0,NNE
0.0,812,0,292,56,0,0,d,1022,38,14.9,2.7,north-northeast,1030,2025-02-18:15,1739890800,2025-02-18T10:00:00,23.4,2,5.8,513,98,0.0,"{'description': 'Scattered clouds', 'icon': 'c02d', 'code': 802}",49,41.0,496.14413,39.9,20,2025-02-18T15:00:00,0.0,NNE
0.0,884,0,299,100,0,5,d,1020,39,14.9,3.6,north,1028,2025-02-18:18,1739901600,2025-02-18T13:00:00,25.5,4,6.7,698,111,0.0,"{'description': 'Scattered clouds', 'icon': 'c02d', 'code': 802}",40,48.7,672.01654,48.7,10,2025-02-18T18:00:00,0.0,N
0.0,706,0,305,100,0,0,d,1019,40,14.9,1.8,west,1027,2025-02-18:21,1739912400,2025-02-18T16:00:00,27.5,2,4.7,330,82,0.0,"{'description': 'Scattered clouds', 'icon': 'c02d', 'code': 802}",39,51.6,316.42145,51.6,260,2025-02-18T21:00:00,0.0,W
0.0,0,0,315,96,0,0,n,1020,42,14.9,0.9,east,1028,2025-02-19:00,1739923200,2025-02-18T19:00:00,29.5,0,2.2,0,0,0.0,"{'description': 'Broken clouds', 'icon': 'c03n', 'code': 803}",57,43.7,0.0,46.0,80,2025-02-19T00:00:00,0.0,E
0.0,0,0,324,57,5,0,n,1021,55,14.9,1.8,east,1029,2025-02-19:03,1739934000,2025-02-18T22:00:00,28.9,0,4.7,0,0,0.0,"{'description': 'Broken clouds', 'icon': 'c03n', 'code': 803}",66,39.4,0.0,39.4,80,2025-02-19T03:00:00,0.0,E
0.0,0,0,321,100,17,0,n,1020,59,14.9,2.7,east-northeast,1028,2025-02-19:06,1739944800,2025-02-19T01:00:00,27.3,0,7.2,0,0,0.0,"{'description': 'Broken clouds', 'icon': 'c03n', 'code': 803}",67,37.2,0.0,35.6,60,2025-02-19T06:00:00,0.0,ENE
0.0,0,0,318,100,100,5,n,1019,76,14.9,5.4,east-northeast,1027,2025-02-19:09,1739955600,2025-02-19T04:00:00,27.3,0,10.7,0,0,0.0,"{'description': 'Overcast clouds', 'icon': 'c04n', 'code': 804}",73,35.1,0.0,30.4,60,2025-02-19T09:00:00,0.0,ENE
0.0,4,0,315,100,100,45,n,1019,86,8.6,7.2,northeast,1027,2025-02-19:12,1739966400,2025-02-19T07:00:00,24.8,0,13.2,1,4,0.0,"{'description': 'Overcast clouds', 'icon': 'c04n', 'code': 804}",72,32.7,4.2620277,26.2,50,2025-02-19T12:00:00,0.0,NE
0.0,814,50,315,100,100,36,d,1018,88,9.2,8.1,northeast,1026,2025-02-19:15,1739977200,2025-02-19T10:00:00,25.3,1,14.5,518,98,0.02,"{'description': 'Overcast clouds', 'icon': 'c04d', 'code': 804}",74,32.7,210.46619,25.5,45,2025-02-19T15:00:00,0.0,NE
0.0,885,65,318,100,100,100,d,1016,91,0.7,8.9,northeast,1024,2025-02-19:18,1739988000,2025-02-19T13:00:00,25.9,2,15.9,703,111,0.04,"{'description': 'Freezing rain', 'icon': 'f01d', 'code': 511}",76,32.5,238.166,25.0,40,2025-02-19T18:00:00,0.0,NE
0.0,709,70,320,100,100,100,d,1012,89,0.2,8.2,northeast,1020,2025-02-19:21,1739998800,2025-02-19T16:00:00,27.7,1,14.3,334,82,0.045,"{'description': 'Freezing rain', 'icon': 'f01d', 'code': 511}",84,32.0,126.99329,24.8,35,2025-02-19T21:00:00,0.0,NE
0.0,0,70,320,100,100,100,n,1010,87,0.4,7.4,north-northeast,1018,2025-02-20:00,1740009600,2025-02-19T19:00:00,29.1,0,12.8,0,0,0.05,"{'description': 'Freezing rain', 'icon': 'f01n', 'code': 511}",91,31.5,0.0,24.6,30,2025-02-20T00:00:00,0.0,NNE
0.598,0,90,332,20,100,18,n,1009,85,14.9,7.3,north-northeast,1017,2025-02-20:03,1740020400,2025-02-19T22:00:00,27.5,0,13.1,0,0,0.05,"{'description': 'Light snow', 'icon': 's01n', 'code': 600}",92,29.5,0.0,22.3,15,2025-02-20T03:00:00,0.6,NNE
1.197,0,90,344,0,100,0,n,1006,83,14.9,7.2,north,1014,2025-02-20:06,1740031200,2025-02-20T01:00:00,25.5,0,13.4,0,0,0.05,"{'description': 'Light snow', 'icon': 's01n', 'code': 600}",92,27.5,0.0,19.9,0,2025-02-20T06:00:00,0.6,N
1.614,0,85,342,0,100,0,n,1007,71,14.9,7.2,south-southeast,1015,2025-02-20:09,1740042000,2025-02-20T04:00:00,24.4,0,14.1,0,0,0.035,"{'description': 'Light snow', 'icon': 's01n', 'code': 600}",93,26.1,0.0,18.3,165,2025-02-20T09:00:00,0.416,SSE
1.85,11,75,343,0,5,0,d,1009,59,14.9,7.2,north-northwest,1017,2025-02-20:12,1740052800,2025-02-20T07:00:00,23.4,1,14.8,1,6,0.02,"{'description': 'Light snow', 'icon': 's01d', 'code': 600}",94,24.8,7.211957,16.7,330,2025-02-20T12:00:00,0.236,NNW
2.024,816,70,336,0,6,0,d,1012,42,14.9,8.9,northwest,1020,2025-02-20:15,1740063600,2025-02-20T10:00:00,25.2,2,16.6,524,99,0.015,"{'description': 'Light snow', 'icon': 's01d', 'code': 600}",78,31.1,499.98416,23.2,320,2025-02-20T15:00:00,0.175,NW
1.398,887,35,332,0,14,0,d,1014,24,14.9,10.7,northwest,1022,2025-02-20:18,1740074400,2025-02-20T13:00:00,25.3,4,18.3,708,112,0.01,"{'description': 'Scattered clouds', 'icon': 'c02d', 'code': 802}",61,37.6,703.0028,30.2,310,2025-02-20T18:00:00,0.0,NW
1.201,711,20,327,0,16,0,d,1016,16,14.9,8.6,northwest,1024,2025-02-20:21,1740085200,2025-02-20T16:00:00,23.5,2,15.3,338,82,0.005,"{'description': 'Few clouds', 'icon': 'c02d', 'code': 801}",64,34.5,337.3553,27.5,310,2025-02-20T21:00:00,0.0,NW
1.201,0,0,324,0,5,0,n,1019,9,14.9,6.5,northwest,1028,2025-02-21:00,1740096000,2025-02-20T19:00:00,21.6,0,12.3,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",66,31.5,0.0,25.3,310,2025-02-21T00:00:00,0.0,NW
1.201,0,0,323,5,5,0,n,1021,6,14.9,5.9,northwest,1030,2025-02-21:03,1740106800,2025-02-20T22:00:00,18.9,0,11.9,0,0,0.0,"{'description': 'Few clouds', 'icon': 'c02n', 'code': 801}",70,27.1,0.0,20.7,315,2025-02-21T03:00:00,0.0,NW
